classical, classical_games, classical_rd, rapid, rapid_games, rapid_rd, blitz, blitz_games, blitz_rd, league_games
1762,22,199,1762,657,199,1440,197,199,14
1830,8,260,1830,60,226,1609,73,221,10
1088,17,215,1088,131,218,989,112,215,1
2083,3,401,2083,30,213,1874,59,207,3
1458,3,407,1458,18,224,1332,7,251,1
1851,66,205,1851,537,207,1538,226,210,17
1716,85,208,1716,1940,206,1259,511,208,10
1852,40,153,2006,3148,142,1713,2218,138,3
1974,11,216,1974,58,214,1622,129,214,11
2055,36,203,2055,87,204,1855,810,203,9
1969,279,130,1963,8032,118,1923,1539,120,51
1654,55,201,1654,1222,201,1607,219,202,3
1918,1046,84,2106,649,144,2100,1482,93,8
1903,109,169,1875,141,169,1804,505,172,39
1878,44,188,1838,83,191,1507,671,187,10
1958,23,220,1958,1,403,1619,6,270,1
2165,91,106,1760,52,139,2028,1269,110,44
1895,15,192,1864,283,192,1723,73,192,2
1779,49,191,1729,2,398,1589,483,201,16
2133,52,181,1690,8,209,1786,78,181,9
1528,15,198,1623,5,277,1534,913,183,3
2044,174,91,1747,9,169,1890,662,115,52
1652,471,180,1354,269,180,1133,57,182,2
1219,21,197,1124,116,186,1018,167,186,6
1562,120,184,1214,185,185,1080,812,186,2
1762,143,170,1701,200,170,1543,279,170,8
1507,51,169,1500,0,500,1593,3,238,1
1597,406,159,1111,30,165,1102,17,172,8
2272,63,170,2218,162,172,2007,1187,165,7
2167,40,170,2038,621,165,1747,1679,163,4
1320,181,163,1160,38,166,998,58,164,2
1796,15,185,1867,43,172,1568,138,168,1
1809,115,119,1683,2439,111,1500,0,500,21
1913,17,157,1393,4,212,1510,84,137,5
1913,146,130,1556,17,153,1500,0,500,1
1497,118,146,1539,414,132,1364,537,130,2
1747,62,126,1657,734,128,1448,2284,112,8
1846,104,114,1557,97,119,1161,83,120,11
1661,61,111,1660,41,123,1589,52,121,12
1769,31,137,1628,302,124,1437,1028,120,7
1310,68,117,1103,2,310,670,38,115,9
2144,37,121,1903,28,115,1900,2060,109,2
2015,36,133,1900,12,168,1531,261,84,7
2152,20,144,1500,0,500,1869,6,187,4
2071,49,85,2097,50,103,2003,456,80,8
